,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,actor1_con,actor2_con,actor3_con,director_con,genre__con
9384,Miss Teacher,2016.0,133.0,Romance,3.2,235.0,Jayprakkash Shaw,Kamalika Chanda,Rahul Sharma,Resham Thakkar,3.2,4.7,3.2,4.7,5.9
9386,Miss Toofan Mail,1958.0,131.11078355314197,Action,6.2,2029.1238422863191,B.J. Patel,Habib,Ranjan Kapoor,Mehroo,6.1,6.2,6.2,6.2,5.7
9387,Missed Call,2005.0,105.0,"Comedy, Drama",7.6,14.0,Mridul Mahendra,Vinay Subramanian,Ankur Vikal,Salim Ghouse,7.6,7.2,7.6,6.9,5.9
9388,Missing,2018.0,120.0,"Drama, Mystery, Thriller",5.8,2074.0,Mukul Abhyankar,Manoj Bajpayee,Tabu,Annu Kapoor,6.5,5.6,6.9,6.2,5.8
9389,Missing on A Weekend,2016.0,113.0,Thriller,4.3,74.0,Abhishek Jawkar,Dishank Arora,Akash Bathija,Dibyendu Bhattacharya,4.3,4.3,5.3,4.3,5.9
9390,Missing Persons Report,2012.0,131.11078355314197,Horror,6.2,2029.1238422863191,Karan Shah,Freishia Bomanbehram,Pravishi Das,Vijay Tilani,6.2,6.2,6.2,6.2,5.4
9392,Mission Istaanbul: Darr Ke Aagey Jeet Hai!,2008.0,130.0,"Action, Adventure, Drama",3.4,1099.0,Apoorva Lakhia,Vivek Oberoi,Zayed Khan,Shriya Saran,4.9,4.2,5.1,4.4,5.8
9393,Mission Kashmir,2000.0,154.0,"Action, Drama, Thriller",6.7,6531.0,Vidhu Vinod Chopra,Sanjay Dutt,Hrithik Roshan,Preity Zinta,5.2,6.0,6.1,6.6,5.8
9396,Mission Mangal,2019.0,130.0,"Drama, History",6.5,12611.0,Jagan Shakti,Akshay Kumar,Vidya Balan,Taapsee Pannu,5.5,6.2,5.0,6.5,6.7
9397,Mission Mumbai,2004.0,117.0,Action,3.8,25.0,Rajiv S. Ruia,Sonu Sood,Nawab Shah,Ashutosh Rana,5.2,4.0,5.3,4.3,5.7
9399,Mission Vande Mataram,2005.0,131.11078355314197,Action,5.4,16.0,Tom Alter,Genelia D'Souza,Venkatesh Daggubati,Prakash Raj,5.8,5.1,5.5,7.3,5.7
9400,Mission: The Last War,2008.0,131.11078355314197,Action,5.4,10.0,Dilshad Ahmad,Arjun,Aruna Irani,Imran Khan,5.5,5.8,5.5,5.4,5.7
9402,Mit Jayenge Mitane Wale,1987.0,131.11078355314197,Action,3.2,12.0,Kamal Mehra,Krishna A.R.,Danny Denzongpa,Dharmendra,4.1,5.6,5.3,3.2,5.7
9403,Mita De Bindiya Utha De Bandook,2000.0,131.11078355314197,Action,6.2,2029.1238422863191,Hemant Kamal,K.T. Anandrao,Junior Amitabh Bachchan,Kishore Anand Bhanushali,6.2,5.5,5.3,6.2,5.7
9404,Mithya,2008.0,110.0,"Comedy, Crime, Thriller",7.1,1934.0,Rajat Kapoor,Ranvir Shorey,Neha Dhupia,Naseeruddin Shah,6.8,6.0,6.4,7.0,6.0
9405,Mitr: My Friend,2002.0,104.0,Drama,6.8,245.0,Revathi,Shobana,Nassar Abdulla,Preeti Vissa,6.8,6.5,6.8,6.4,6.3
9407,Mitron,2018.0,119.0,Comedy,6.9,2334.0,Nitin Kakkar,Jackky Bhagnani,Kritika Kamra,Prateik,5.2,6.9,6.9,7.1,5.9
9408,Mittal V/S Mittal,2010.0,131.11078355314197,Drama,4.2,13.0,Karan Razdan,Hazel Croney,Gulshan Grover,Iravati Harshe,4.2,5.7,4.2,4.3,6.3
9410,Mitti,2001.0,155.0,"Action, Drama",5.3,27.0,Iqbal Durrani,Ferdous Ahmed,Sharbani Mukherji,Rani Rajkumar,5.2,5.9,5.3,5.4,5.6
9411,Mitti Aur Chand,2004.0,61.0,Drama,6.2,2029.1238422863191,Abhishek Gosh,Navin Kankate,Rajit Kapoor,Ananya Khare,6.2,6.4,6.2,6.2,6.3
9412,Mitti Aur Sona,1989.0,163.0,"Action, Drama",4.7,35.0,Shiv Kumar,Chunky Panday,Neelam Kothari,Sonam,4.0,5.0,4.8,6.0,5.6
9415,Mitti Ke Khiloune,1948.0,131.11078355314197,Musical,6.2,2029.1238422863191,Ram Avtar,Karan Dewan,Dulari,Nirupa Roy,6.2,6.2,6.3,6.2,5.9
9416,Mitti Mein Sona,1960.0,131.11078355314197,"Drama, Family",6.2,2029.1238422863191,Jugal Kishore,Pradeep Kumar,Sabita Chatterjee,Agha,6.1,6.2,6.6,6.0,6.2
9418,Mixed Doubles,2006.0,91.0,"Comedy, Drama",6.4,647.0,Rajat Kapoor,Konkona Sen Sharma,Ranvir Shorey,Koel Purie,6.4,6.0,5.4,7.0,5.9
9420,Miya Bibi Razi,1960.0,131.11078355314197,"Drama, Romance",6.2,2029.1238422863191,Jyoti Swaroop,Mehmood,Seema Deo,Kamini Kadam,6.4,6.8,6.2,6.4,5.9
9421,Miya Biwi Aur Saali,1996.0,131.11078355314197,Comedy,6.5,20.0,Kodanda Rami Reddy A.,Nagarjuna Akkineni,Ramya Krishnan,Meena,6.0,5.6,6.0,6.1,5.9
9424,Mmirsa,2016.0,143.0,Drama,8.0,13.0,Hemnt Praddeep,Kabir Bedi,Souryansh Bharadwaj,Saanvi Dhiman,6.5,8.0,7.1,8.0,6.3
9426,Mod,2011.0,100.0,"Drama, Romance, Thriller",6.5,399.0,Nagesh Kukunoor,Ayesha Takia,Rannvijay Singh,Raghuvir Yadav,7.2,6.5,6.5,6.9,5.0
9427,MOD The Turning Point,2019.0,131.11078355314197,Drama,6.2,2029.1238422863191,Arpan Roychowdhury,Jas Arora,Sanjay Gurbaxani,Kapil Jhamb,6.2,6.2,6.2,6.2,6.3
9428,Model: The Beauty,2005.0,131.11078355314197,Drama,6.2,2029.1238422863191,Suman Agarwal,Anjali Arora,Shakti Kapoor,Razak Khan,6.2,5.6,5.7,6.2,6.3
9429,Modern Girl,1961.0,131.11078355314197,Romance,4.5,6.0,R. Bhattacharya,Pradeep Kumar,Sayeeda Khan,Smriti Biswas,6.1,6.0,6.2,5.1,5.9
9431,Modh,2009.0,131.11078355314197,Drama,6.2,2029.1238422863191,Rahul Kapoor,Akash,Baljit,Beneka,6.0,6.2,6.2,6.2,6.3
9432,Modi Kaka Ka Gaon,2017.0,131.11078355314197,Drama,6.2,2029.1238422863191,Tushar Amrish Goel,Zeba Hussain,Zeba Anjum Kausar,Chandramani Mishra,6.2,6.2,6.2,6.2,6.3
9437,Moh Maya Money,2016.0,108.0,"Crime, Drama, Thriller",5.6,415.0,Munish Bhardwaj,Neha Dhupia,Ranvir Shorey,Devendra Chowhan,4.3,6.0,5.6,5.6,6.1
9438,Mohabat Ka Paigham,1989.0,131.11078355314197,"Family, Drama",4.6,9.0,Padmini Kapila,Padmini,Shammi Kapoor,Raj Babbar,4.6,6.5,5.7,4.6,5.9
9439,Mohabbat,1985.0,134.0,Romance,5.5,104.0,Bapu,Anil Kapoor,Vijayata Pandit,Aruna Irani,5.6,6.0,5.7,6.1,5.9
9440,Mohabbat,1997.0,180.0,"Drama, Romance",5.3,474.0,Reema Rakesh Nath,Madhuri Dixit,Sanjay Kapoor,Akshaye Khanna,5.9,4.6,5.7,5.3,5.9
9442,Mohabbat Aur Jung,1998.0,126.0,Action,4.5,13.0,Hameed Alam,Aparajita,Mohnish Bahl,Rakesh Bedi,5.2,5.8,5.6,5.4,5.7
9443,Mohabbat Aur Jung,1967.0,131.11078355314197,"Action, Romance",6.2,2029.1238422863191,S. Azim,Randhawa,Helen,Mohan Sherry,6.1,6.0,6.1,6.2,5.0
9445,Mohabbat Isko Kahete Hain,1965.0,102.0,"Drama, Romance",6.7,23.0,Akhtar Mirza,Nanda,Shashi Kapoor,Ramesh Deo,6.3,6.7,6.2,6.7,5.9
9446,Mohabbat Ka Masihaa,1984.0,131.11078355314197,Romance,6.2,2029.1238422863191,Mohd. Maroof,Vijayendra Ghatge,Shakti Kapoor,Kader Khan,5.8,5.6,5.5,6.2,5.9
9448,Mohabbat Ke Dushman,1988.0,131.11078355314197,"Action, Thriller",5.0,50.0,Prakash Mehra,Raaj Kumar,Hema Malini,Sanjay Dutt,5.7,6.2,5.0,5.9,5.6
9449,Mohabbat Ki Aag,1997.0,127.0,"Drama, Romance",3.5,13.0,K.R. Reddy,Poonam Dhillon,Govinda,Shakti Kapoor,4.8,5.1,5.5,5.2,5.9
9451,Mohabbat Ki Arzoo,1994.0,146.0,"Action, Drama, Romance",5.3,45.0,K.C. Bokadia,Rishi Kapoor,Zeba Bakhtiar,Ashwini Bhave,5.9,5.6,5.7,4.4,5.3
9454,Mohabbat Ki Kasam,1986.0,131.11078355314197,"Action, Drama",5.8,12.0,K. Pappu,Amjad Khan,Kulbhushan Kharbanda,Jamuna,5.3,5.8,6.3,5.4,5.6
9456,Mohabbat Pehli Nazar Mein,1991.0,131.11078355314197,Romance,3.3,6.0,Gautam Siddhartha,Akshay Anand,Sangeeta Ghosh,Amjad Khan,5.0,3.3,5.7,3.3,5.9
9457,Mohabbat Zindabad,1962.0,131.11078355314197,Romance,6.2,2029.1238422863191,Vallabh Choksi,Deep Kumar,Naazi,Ulhas,6.2,6.2,6.7,6.2,5.9
9458,Mohabbat Zindagi Hai,1966.0,131.11078355314197,"Comedy, Drama, Romance",5.3,38.0,Jagdish Nirula,Dharmendra,Rajshree,Mehmood,5.8,6.2,6.2,5.7,5.8
9460,Mohabbatein,2000.0,216.0,"Musical, Drama, Romance",7.1,27990.0,Aditya Chopra,Amitabh Bachchan,Shah Rukh Khan,Uday Chopra,6.1,6.4,6.1,6.6,6.1
9461,Mohabbaton Ka Safar,1995.0,131.11078355314197,Romance,6.2,2029.1238422863191,Salahuddin Parvez,Aruna Irani,Imran Khan,Mehmood,6.2,5.9,6.2,5.0,5.9
9462,Mohai Jungle,2019.0,119.0,Thriller,6.2,2029.1238422863191,Sandeep Sushil Sinha,Gaurav,Javed,Lalit,6.2,6.2,6.2,6.2,5.9
9463,Mohalla Assi,2015.0,150.0,"Comedy, Drama",6.8,1601.0,Chandra Prakash Dwivedi,Sunny Deol,Sakshi Tanwar,Ravi Kishan,5.0,7.2,6.0,6.8,5.9
9464,Mohan,1947.0,131.11078355314197,Mystery,8.7,9.0,Anadinath Bannerjee,Dev Anand,Hemavathi,Vimala Vasishta,6.8,8.7,7.8,8.7,6.0
9465,Mohan Joshi Hazir Ho!,1984.0,130.0,Drama,7.1,153.0,Saeed Akhtar Mirza,Bhisham Sahni,Dina Pathak,Mohan Gokhale,7.1,6.2,6.3,6.8,6.3
9466,Mohan Rakesh's Adhe Adhure,2014.0,100.0,Drama,7.1,32.0,Rohit Philip,Mohan Agashe,Lillete Dubey,Ira Dubey,6.5,5.9,7.1,7.1,6.3
9467,Mohandas,2009.0,112.0,Thriller,6.8,119.0,Mazhar Kamran,Uttam Halder,Sonali Kulkarni,Sharbani Mukherji,6.8,6.4,6.5,6.8,5.9
9468,Mohar,1959.0,131.11078355314197,"Drama, Family",6.2,2029.1238422863191,Paidi Jairaj,Geeta Bali,Shammi Kapoor,Master Bhagwan,6.1,6.5,6.0,6.2,6.2
9469,Mohenjo Daro,2016.0,155.0,"Action, Adventure, Drama",5.7,10903.0,Ashutosh Gowariker,Hrithik Roshan,Pooja Hegde,Kabir Bedi,6.3,6.0,5.0,6.3,5.8
9470,Mohini,1957.0,131.11078355314197,"Drama, Fantasy",6.2,2029.1238422863191,Raman B. Desai,Nirupa Roy,Shahu Modak,Shakila,6.4,6.6,6.0,6.2,6.1
9475,Mohra,1994.0,177.0,"Action, Drama, Thriller",7.0,7623.0,Rajiv Rai,Akshay Kumar,Sunil Shetty,Raveena Tandon,5.5,5.0,5.6,5.8,5.8
9476,Mohre,1987.0,104.0,"Drama, Mystery",5.3,75.0,Raghuvir Kul,Nana Patekar,Madhuri Dixit,Sadashiv Amrapurkar,6.3,5.8,4.8,5.3,6.0
9477,Moksh To Maya,2019.0,113.0,Thriller,4.2,45.0,Manoj Singh,Bidita Bag,Meghna Malik,Ehsan Khan,6.0,4.2,5.2,4.2,5.9
9478,Moksha: Salvation,2001.0,150.0,"Crime, Drama, Thriller",6.2,390.0,Ashok Mehta,Arjun Rampal,Manisha Koirala,Kalpana Pandit,5.4,5.1,5.0,4.9,6.1
9479,Mokssh,2013.0,100.0,"Drama, Musical",4.8,13.0,Ajit P. Bhairavkar,Chinmay Mandlekar,Sukhada Yash,Sanjiv Chopra,4.8,4.8,4.8,4.8,6.5
9480,Mom,2017.0,146.0,"Crime, Drama, Thriller",7.3,9395.0,Ravi Udyawar,Sridevi,Sajal Ali,Akshaye Khanna,5.6,7.3,5.7,6.8,6.1
9481,Mome Ki Gudiya,1972.0,118.0,"Crime, Drama, Romance",5.9,11.0,Mohan Kumar,Ratan Chopra,Tanuja,Prem Nath,5.9,6.4,6.3,6.2,6.2
9482,Mom's Coming,2022.0,131.11078355314197,"Horror, Musical, Thriller",6.2,2029.1238422863191,Rishiking,Zoya Afroz,Sahil Mishra,Byom,6.2,6.2,6.2,6.2,6.2
9485,Money Back Guarantee,2016.0,131.11078355314197,Comedy,4.1,7.0,Sunil Pal,Ganesh Acharya,Dhananjay Galani,Rajkumar Kanojia,4.8,5.2,6.2,4.9,5.9
9487,Money Hai Toh Honey Hai,2008.0,138.0,"Comedy, Drama",2.7,565.0,Ganesh Acharya,Govinda,Manoj Bajpayee,Aftab Shivdasani,4.8,5.9,4.7,5.3,5.9
9488,Monica,2011.0,124.0,"Biography, Drama, Thriller",5.5,72.0,Sushen Bhatnagar,Ashutosh Rana,Divya Dutta,Rajit Kapoor,6.0,5.3,6.4,4.9,6.6
9492,Monopoly the Game of Money,2012.0,131.11078355314197,Thriller,6.2,2029.1238422863191,Nilesh Malhotra,Zeenat Aman,Nikita Anand,Rajat Bedi,6.2,4.7,4.9,6.2,5.9
9493,Monsoon,2015.0,106.0,"Comedy, Drama, Romance",3.3,61.0,Suzad Iqbal Khan,Shawar Ali,Gaurav Gautam,Pramod Goswami,4.3,5.2,3.3,5.5,5.8
9494,Monsoon Shootout,2013.0,92.0,"Action, Crime, Drama",6.6,1071.0,Amit Kumar,Vijay Varma,Nawazuddin Siddiqui,Neeraj Kabi,7.3,6.8,7.4,6.0,5.7
9495,Monsoon Wedding,2001.0,114.0,"Comedy, Drama, Romance",7.4,23663.0,Mira Nair,Naseeruddin Shah,Lillete Dubey,Shefali Shah,6.0,5.9,7.0,7.7,5.8
9496,Montu Ki Paltan,2020.0,100.0,Drama,6.2,2029.1238422863191,Vikrant More,Pankaj Berry,K.K. Goswami,Gulshan Pandey,5.9,5.6,6.2,6.2,6.3
9497,Moods of Crime,2015.0,115.0,Crime,5.8,28.0,Sunil Shah,Ayaz Ahmed,Uppekha Jain,Anima Pagare,5.8,5.8,5.8,5.8,5.5
9498,Moojrim,1970.0,138.0,"Action, Crime, Musical",4.4,21.0,Kewal Misra,Joy Mukherjee,Kumud Chuggani,Dev Kumar,5.9,5.3,6.2,5.6,5.7
9499,Moon On the Man,2020.0,131.11078355314197,"Documentary, Drama",6.2,2029.1238422863191,Prince Shah,Guru Dutt,Ian Fleming,Khyati Gandhi,6.8,6.2,6.2,6.2,6.8
9500,Moonlight: Unfortunately a Love Story,2006.0,131.11078355314197,Comedy,6.2,2029.1238422863191,Raman Bharadwaj,Kim Sharma,Shekhar Suman,Perizaad Zorabian,6.2,5.2,5.6,6.2,5.9
9503,Mora Balma Chhail Chhabila,2011.0,131.11078355314197,Family,6.2,2029.1238422863191,Mukesh Kumar,Vinay Anand,Rani Chatterjee,Diveyaa Dwivedi,5.3,5.7,5.5,6.2,6.1
9504,Moral Nights,2021.0,93.0,Drama,9.0,37.0,S. Sunil,Kannanunni,Santhosh Keezhattoor,Sandra Larwin,9.0,9.0,9.0,9.0,6.3
9505,Morchha,1980.0,131.11078355314197,"Action, Adventure, Musical",3.9,8.0,Ravikant Nagaich,Aruna,Ravi Behl,Anita,4.6,5.0,5.0,5.8,5.7
9507,Morjim,2021.0,118.0,"Crime, Mystery, Thriller",6.2,2029.1238422863191,Faizan Kareem,Dipannita Sharma,Sharat Saxena,Manjot Singh,6.5,5.8,7.2,6.2,6.1
9508,Morning Raga,2004.0,110.0,"Drama, Music",6.7,296.0,Mahesh Dattani,Shabana Azmi,Prakash Kovelamudi,Lillete Dubey,6.7,6.7,4.8,6.5,6.3
9509,Morning Walk,2009.0,105.0,Drama,4.7,61.0,Arup Dutta,Nargis Bagheri,Divya Dutta,Avika Gor,5.4,5.3,4.7,6.0,6.3
9510,Mosagallu,2021.0,85.0,Drama,7.9,1059.0,Jeffrey Gee Chin,Vishnu Manchu,Kajal Aggarwal,Sunil Shetty,7.9,5.8,5.7,7.9,6.3
9511,Most Common Budbak,2020.0,131.11078355314197,Drama,7.6,33.0,Shashank Kumar,Rajni Katiyar,Raj Nandini,Amitesh Sriram,7.6,7.6,7.6,7.6,6.3
9513,Mother,1999.0,142.0,"Comedy, Drama",4.3,54.0,Saawan Kumar Tak,Jeetendra,Rekha,Randhir Kapoor,5.3,5.7,5.7,5.2,5.9
9514,Mother India,1957.0,172.0,"Drama, Musical, Family",8.0,8788.0,Mehboob Khan,Nargis,Sunil Dutt,Rajendra Kumar,7.3,6.5,6.0,6.8,7.5
9515,Mother India,1938.0,131.11078355314197,Drama,9.0,6.0,Gunjal,Sharifa,Pramila,Ashiq Hussain,9.0,7.1,9.0,6.8,6.3
9519,Moti Mahal,1952.0,131.11078355314197,"Comedy, Drama, Fantasy",6.2,2029.1238422863191,Ravindra Dave,Ajit,Suraiya,Jeevan,5.9,6.4,6.2,6.1,5.7
9523,Mounam,1995.0,131.11078355314197,"Action, Romance, Thriller",4.8,10.0,Uma Maheswara Rao,Arvind Swamy,Nagma,Charu Haasan,5.1,5.8,5.9,4.8,5.3
9524,Mounie,1995.0,131.11078355314197,Comedy,6.2,2029.1238422863191,Nitin Auditcha,Dev Burman,Vikram Chanpura,Girish Patel,6.2,6.2,6.2,6.2,5.9
9525,Mounto,1975.0,114.0,"Action, Crime",4.8,5.0,Jambulingam,Navin Nischol,Saira Banu,Bindu,6.3,6.4,5.7,5.7,5.5
9527,MP3: Mera Pehla Pehla Pyaar,2007.0,118.0,"Comedy, Drama, Musical",7.0,2180.0,Robbie Grewal,Menekka Arora,Sarthak Bhasin,Sagar Chawla,7.0,7.0,7.0,6.6,6.2
9529,Mr Fraud,2012.0,131.11078355314197,Thriller,6.2,2029.1238422863191,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Bipasha Basu,Ajay Devgn,5.8,4.6,5.9,5.8,5.9
9531,Mr Joe B. Carvalho,2014.0,130.0,"Action, Comedy, Mystery",3.6,526.0,Samir Tewari,Arshad Warsi,Soha Ali Khan,Javed Jaffrey,5.1,6.1,5.2,3.6,5.2
9533,Mr Lonely Miss Lovely,2004.0,95.0,Comedy,5.3,6.0,Aditya Om,Rajendra Gupta,Aditya Om,Nandana Sen,5.8,5.3,5.3,6.5,5.9
9534,Mr Prime Minister,2005.0,131.11078355314197,Comedy,5.2,60.0,Dev Anand,Dev Anand,Prem Chopra,Milind Gunaji,6.8,5.3,6.0,5.6,5.9
9535,Mr Ya Miss,2005.0,136.0,"Comedy, Fantasy",3.6,466.0,Antara Mali,Satchit Puranik,Antara Mali,Riteish Deshmukh,3.6,4.2,5.1,3.6,5.6
9536,Mr. & Mrs. '55,1955.0,157.0,"Comedy, Musical, Romance",7.2,500.0,Guru Dutt,Madhubala,Guru Dutt,Lalita Pawar,6.8,7.4,6.7,7.5,6.1
9537,Mr. & Mrs. Khiladi,1997.0,133.0,"Comedy, Drama, Romance",6.4,6022.0,David Dhawan,Akshay Kumar,Juhi Chawla,Paresh Rawal,5.5,5.7,5.4,5.2,5.8
9538,Mr. 100%,2006.0,131.11078355314197,"Mystery, Thriller",4.5,47.0,Piyush Kumar,Narendra Bedi,Mahima Chaudhry,Bobby Darling,5.6,4.5,5.7,4.5,5.9
9541,Mr. Azaad,1994.0,123.0,"Action, Comedy, Drama",4.2,95.0,Rama Rao Tatineni,Anil Kapoor,Niki Walia,Ishrat Ali,5.6,4.9,4.6,5.4,5.5
9542,Mr. Bechara,1996.0,140.0,Comedy,5.4,332.0,Bhagyaraj,Anil Kapoor,Sridevi,Nagarjuna Akkineni,5.6,5.9,6.6,6.0,5.9
9543,Mr. Bond,1992.0,127.0,"Action, Adventure, Thriller",4.3,622.0,Raj N. Sippy,Akshay Kumar,Sheeba,Saathi Ganguly,5.5,4.2,4.3,5.2,5.5
9545,Mr. Hot Mr. Kool,2007.0,110.0,"Comedy, Drama, Romance",4.0,21.0,Partho Ghosh,Kishore Anand Bhanushali,Mushtaq Khan,Shahbaaz Khan,4.9,5.9,5.7,5.0,5.8
9546,Mr. India,1987.0,179.0,"Action, Comedy, Drama",7.8,14451.0,Shekhar Kapur,Anil Kapoor,Sridevi,Amrish Puri,5.6,5.9,5.8,7.9,5.5
9547,Mr. India,1961.0,179.0,"Comedy, Crime, Drama",6.8,31.0,G.P. Sippy,Geeta Bali,I.S. Johar,Helen,6.1,6.5,6.0,6.1,5.7
9549,Mr. John,1959.0,131.11078355314197,"Comedy, Crime",6.2,2029.1238422863191,Inder,Helen,Iftekhar,Lalita Pawar,6.2,6.0,6.7,6.2,5.9
9550,Mr. Kabaadi,2017.0,93.0,Comedy,4.8,53.0,Seema Kapoor,Annu Kapoor,Rajveer Singh,Om Puri,4.4,4.8,6.0,5.2,5.9
9551,Mr. Lambu,1956.0,131.11078355314197,Action,6.2,2029.1238422863191,Nisar Ahmad Ansari,Sheikh Mukhtar,Suraiya,Nisar Ahmad Ansari,6.0,6.4,5.9,6.1,5.7
9552,Mr. Lieutenant Radio,2014.0,52.0,"Drama, War",6.2,2029.1238422863191,Akash Sagar Chopra,Anmol Karnik,Ashok Mishra,Akash Sagar Chopra,6.2,6.2,6.2,6.2,6.2
9555,Mr. Natwarlal,1979.0,148.0,"Action, Comedy, Romance",6.6,1328.0,Rakesh Kumar,Amitabh Bachchan,Rekha,Ajit,6.1,5.7,6.3,5.8,5.0
9556,Mr. Paanwala,2019.0,131.11078355314197,Comedy,6.2,2029.1238422863191,Vijay Bhola,Surendra Namdeo,Yashpal Sharma,Mita Vashisht,6.2,6.8,6.7,6.2,5.9
9557,Mr. Q,1958.0,131.11078355314197,"Action, Adventure",6.2,2029.1238422863191,Kalpataru,Amarnath,Master Bhagwan,Nazir Kashmiri,6.1,6.0,6.2,5.8,5.8
9558,Mr. Qartoon M. A.,1958.0,131.11078355314197,Comedy,6.2,2029.1238422863191,Shyama,Johnny Walker,Mehmood,Kumkum,5.6,6.4,6.1,6.2,5.9
9560,Mr. Romeo,1996.0,162.0,"Action, Comedy, Romance",5.5,161.0,K.S. Ravi,Prabhu Deva,Shilpa Shetty Kundra,Madhoo,5.4,4.8,4.5,5.5,5.0
9561,Mr. Romeo,1974.0,138.0,"Drama, Romance",6.7,17.0,Subhash Mukherjee,Shashi Kapoor,Rinku Jaiswal,Kiran Kumar,6.3,6.7,5.4,5.8,5.9
9562,Mr. Sampat,1952.0,165.0,Comedy,7.4,27.0,S.S. Vasan,Motilal,Padmini,Kanhaiyalal Chaturvedi,6.6,6.4,6.6,6.7,5.9
9563,Mr. Singh/Mrs. Mehta,2010.0,118.0,Drama,4.2,178.0,Pravesh Bhardwaj,Prashant Narayanan,Aruna Shields,Naved Aslam,4.0,4.2,5.2,4.2,6.3
9565,Mr. White Mr. Black,2008.0,130.0,"Action, Comedy, Crime",3.3,194.0,Deepak S. Shivdasani,Sunil Shetty,Arshad Warsi,Sadashiv Amrapurkar,4.6,6.0,4.8,4.4,5.4
9566,Mr. X,1957.0,120.0,"Crime, Drama, Mystery",5.5,20.0,Nanabhai Bhatt,Ashok Kumar,Nalini Jaywant,Ragini,6.4,6.1,6.0,5.9,6.3
9568,Mr. X,1987.0,120.0,Fantasy,7.0,5.0,Khwaja Ahmad Abbas,Amol Palekar,Shabana Azmi,Tom Alter,7.0,6.3,5.7,6.4,6.2
9569,Mr. X,2015.0,133.0,"Action, Crime, Drama",3.8,1833.0,Vikram Bhatt,Emraan Hashmi,Amyra Dastur,Tanmay Bhat,5.4,3.9,3.8,4.8,5.7
9570,Mr. X in Bombay,1964.0,126.0,"Romance, Sci-Fi, Thriller",6.3,110.0,Shantilal Soni,Kishore Kumar,Kumkum,Randhir,6.5,5.9,6.1,6.4,6.3
9572,Mridang,2017.0,108.0,Drama,5.8,6.0,Ritesh s Kumar,Rose Laskar,Manoj Kumar Rao,Aaditya Singh,5.8,5.8,5.8,6.0,6.3
9573,Mrig Trishna,1975.0,131.11078355314197,Drama,6.2,2029.1238422863191,Rajendra Nath Shukla,Rakesh Pandey,Yogeeta Bali,Manisha,6.5,5.9,6.2,6.2,6.3
9574,Mrigayaa,1977.0,119.0,Drama,6.6,114.0,Mrinal Sen,Ajit Banerjee,Samit Bhanja,Mithun Chakraborty,6.6,6.6,5.6,7.2,6.3
9575,Mrityu: The Truth,2000.0,131.11078355314197,Action,6.2,2029.1238422863191,Shuchi Arora,Ram Asra,Arun Bakshi,Rakesh Bedi,5.1,5.4,5.6,6.2,5.7
9576,Mrityudaata,1997.0,158.0,"Action, Drama, Musical",2.5,378.0,Mehul Kumar,Amitabh Bachchan,Dimple Kapadia,Karisma Kapoor,6.1,5.4,4.4,5.2,5.6
9577,Mrityudand: The Death Sentence,1997.0,150.0,"Action, Drama",7.3,424.0,Prakash Jha,Shabana Azmi,Madhuri Dixit,Ayub Khan,6.7,5.8,5.4,6.5,5.6
9578,Mrs & Mr Khurana,2020.0,89.0,"Drama, Thriller",6.2,2029.1238422863191,Prasadh Inamdar,Sudhir Dalvi,Sharib Hashmi,Satish Kaushik,6.2,6.6,5.5,6.2,6.0
9579,Mrs Undercover,2021.0,131.11078355314197,Action,6.2,2029.1238422863191,Anushree Mehta,Radhika Apte,Rajesh Sharma,Akshay Kapoor,6.0,6.4,6.2,6.2,5.7
9580,Mrs. Scooter,2015.0,96.0,"Drama, Romance",6.5,202.0,Shiladitya Moulik,Anjali Patil,Jafar Abbas,Satyakam Anand,6.8,6.5,6.5,6.5,5.9
9581,Mrs. Serial Killer,2020.0,106.0,"Crime, Drama, Thriller",4.8,11531.0,Shirish Kunder,Jacqueline Fernandez,Manoj Bajpayee,Mohit Raina,5.2,5.9,6.5,4.4,6.1
9583,MSG 2 the Messenger,2015.0,134.0,"Action, Comedy, Drama",6.6,8431.0,Gurmeet Ram Rahim Singh,Muntazir Ahmad,Charanpreet Insan,Honeypreet Insan,5.9,6.6,6.1,6.1,5.5
9584,MSG the Warrior: Lion Heart,2016.0,120.0,"Action, Adventure, Fantasy",6.7,7362.0,Gurmeet Ram Rahim Singh,Muntazir Ahmad,Ashok Insan,Bhushan Insan,5.9,6.7,6.7,6.1,5.7
9585,MSG: The Messenger of God,2015.0,197.0,"Action, Comedy, Drama",5.8,11192.0,Jeetu Arora,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh,Daniel Kaleb,6.1,6.2,5.8,5.8,5.5
9586,Muavza,2017.0,111.0,"Comedy, Drama",2.5,6.0,Girish Juneja,Annu Kapoor,Akhilendra Mishra,Pankaj Berry,4.4,4.8,5.1,2.5,5.9
9587,Mubarakan,2017.0,156.0,"Comedy, Romance",5.5,3629.0,Anees Bazmee,Anil Kapoor,Arjun Kapoor,Ileana D'Cruz,5.6,4.6,5.7,5.4,5.8
9589,Mud Mud Ke Na Dekh,1960.0,131.11078355314197,"Drama, Family",6.0,6.0,Tiwari,Mehmood,Anita Guha,Bharat Bhushan,6.4,6.4,6.1,6.0,6.2
